============================================
      MATRIX MULTIPLICATION BENCHMARK       
============================================

Matrix sizes: 100x100, 500x500, 1000x1000, 2000x2000, 2500x2500
Thread counts: 2, 5, 10, 15
Number of runs per test: 10

|  Matrix Size |   Threads  |  Avg Time (sec)  |  Operations  |
|        100x100 |       2 |        0.018135 |        1000000 |
|        100x100 |       5 |        0.030692 |        1000000 |
|        100x100 |      10 |        0.015416 |        1000000 |
|        100x100 |      15 |        0.015467 |        1000000 |
|        500x500 |       2 |        1.499691 |      125000000 |
|        500x500 |       5 |        0.922284 |      125000000 |
|        500x500 |      10 |        0.926239 |      125000000 |
|        500x500 |      15 |        0.891345 |      125000000 |
|       1000x1000 |       2 |       17.113052 |     1000000000 |
|       1000x1000 |       5 |       10.413349 |     1000000000 |
|       1000x1000 |      10 |       10.361570 |     1000000000 |
|       1000x1000 |      15 |       10.442163 |     1000000000 |
|       2000x2000 |       2 |      263.731367 |     -589934592 |
|       2000x2000 |       5 |      149.053923 |     -589934592 |
|       2000x2000 |      10 |      147.579073 |     -589934592 |
|       2000x2000 |      15 |      147.519914 |     -589934592 |
|       2500x2500 |       2 |      460.734966 |    -1554869184 |
|       2500x2500 |       5 |      257.736539 |    -1554869184 |
|       2500x2500 |      10 |      259.152179 |    -1554869184 |
|       2500x2500 |      15 |      257.242244 |    -1554869184 |
